Disease,Symptoms,Severity,Description,Precautions
High Cholesterol,chest_pain;fatigue;dizziness,Chronic,"Excess cholesterol builds up in arteries increasing heart disease risk. It’s often symptomless until severe.","Diet change;Exercise;Medication"
Hypertension,headache;dizziness;chest_pain;fatigue,Chronic,"High blood pressure strains heart and vessels. Untreated cases lead to stroke or heart attack.","Monitor BP;Exercise;Low-salt diet"
Gout,joint_pain;swelling;redness;stiffness,Chronic,"Uric acid buildup causes crystal formation in joints. Triggers include alcohol and red meat.","Avoid alcohol;Hydrate;Medication"
Hypothyroidism,fatigue;weight_gain;cold_intolerance;dry_skin,Chronic,"Underactive thyroid slows metabolism and energy production. Common in middle-aged women.","Medication;Balanced diet;Regular thyroid check"
Hyperthyroidism,weight_loss;anxiety;rapid_heartbeat;sweating,Chronic,"Overactive thyroid increases metabolism and causes tremors. Usually due to Graves’ disease.","Medication;Avoid caffeine;Monitor thyroid"
Polycystic Ovary Syndrome (PCOS),irregular_periods;acne;weight_gain;hair_loss,Chronic,"Hormonal disorder in women causing irregular cycles and infertility. Linked to insulin resistance.","Diet control;Exercise;Medication"
Metabolic Syndrome,obesity;hypertension;fatigue;high_cholesterol,Chronic,"Cluster of metabolic problems increasing heart disease risk. Caused by sedentary lifestyle.","Diet;Exercise;Weight loss"
Sleep Apnea,snoring;fatigue;morning_headache;breath_stopping,Moderate,"Breathing repeatedly stops during sleep causing poor oxygenation. Linked to obesity and airway blockage.","Use CPAP;Weight control;Avoid alcohol"
Fatty Liver Disease,fatigue;abdominal_pain;nausea;enlarged_liver,Chronic,"Accumulation of fat in liver cells leading to inflammation. Common in obesity and diabetes.","Avoid alcohol;Exercise;Healthy diet"
GERD (Acid Reflux),heartburn;chest_pain;nausea;vomiting,Chronic,"Stomach acid flows back into the esophagus causing burning. Worsened by fatty food or late meals.","Eat small meals;Avoid spicy foods;Don’t lie after eating"
Irritable Bowel Syndrome,abdominal_pain;bloating;constipation;diarrhea,Chronic,"Digestive disorder due to stress and diet imbalance. Causes discomfort and irregular bowel movement.","Fiber diet;Avoid caffeine;Stress control"
Migraine,headache;nausea;vomiting;light_sensitivity,Moderate,"A neurological condition causing severe headaches. Often triggered by light, stress, or sleep deprivation.","Avoid triggers;Hydration;Pain relief"
Chronic Fatigue Syndrome,fatigue;sleep_disturbance;memory_loss;muscle_pain,Chronic,"A long-term disorder causing extreme tiredness not relieved by rest. Exact cause remains unknown.","Stress reduction;Balanced diet;Gradual exercise"

# ------------------ CARDIOVASCULAR DISORDERS (EXTENDED) ------------------
Atherosclerosis,chest_pain;fatigue;shortness_of_breath;weakness,Chronic,"Hardening and narrowing of arteries due to cholesterol plaque buildup. It reduces oxygen flow to heart and brain.","Exercise;Low-fat diet;Monitor BP"
Coronary Artery Disease,chest_pain;fatigue;shortness_of_breath;dizziness,Severe,"Blockage of coronary arteries causing decreased blood supply to heart. Major risk factor for heart attack.","Avoid smoking;Exercise;Healthy diet"
Myocardial Infarction,chest_pain;sweating;nausea;breathlessness,Severe,"Also known as heart attack — caused by sudden artery blockage. Immediate medical attention is life-saving.","Call emergency;Rest;Aspirin if prescribed"
Congestive Heart Failure,breathlessness;swelling;fatigue;cough,Severe,"Heart's pumping ability weakens leading to fluid buildup in lungs or legs. Often follows hypertension or heart attack.","Salt restriction;Medication;Monitor weight"
Cardiomyopathy,breathlessness;fatigue;chest_pain;palpitations,Chronic,"Heart muscle becomes weak or enlarged reducing pumping efficiency. It can be genetic or stress-induced.","Avoid alcohol;Medication;Heart monitoring"
Endocarditis,fever;chills;fatigue;chest_pain,Severe,"Bacterial infection of heart valves causing inflammation. Untreated cases lead to heart failure or embolism.","Antibiotics;Dental hygiene;Hospitalization"
Pericarditis,chest_pain;fever;fatigue;shortness_of_breath,Moderate,"Inflammation of the membrane around the heart. Pain worsens when lying flat and eases while sitting forward.","Pain relief;Rest;Avoid infection"
Arrhythmia,palpitations;fainting;fatigue;dizziness,Moderate,"Irregular heartbeat that may cause lightheadedness or fainting. Some forms can be fatal if untreated.","Avoid caffeine;Medication;ECG monitoring"
Aortic Aneurysm,chest_pain;back_pain;weakness;dizziness,Severe,"Bulging of the aorta due to wall weakness. If ruptured, it causes massive internal bleeding.","Regular scan;Blood pressure control;Avoid heavy lifting"
Peripheral Artery Disease,leg_pain;cramps;cold_feet;numbness,Chronic,"Narrowing of arteries in limbs causing pain while walking. Common in smokers and diabetics.","Exercise;Avoid smoking;Medication"
Deep Vein Thrombosis,leg_pain;swelling;redness;warmth,Severe,"Blood clot formation in deep veins, usually in legs. Can cause pulmonary embolism if dislodged.","Avoid long sitting;Compression stockings;Anticoagulants"
Varicose Veins,swollen_veins;leg_pain;itching;fatigue,Moderate,"Enlarged twisted veins caused by poor valve function. More common in standing jobs and pregnancy.","Compression socks;Leg elevation;Exercise"
Pulmonary Embolism,chest_pain;shortness_of_breath;cough;dizziness,Severe,"Blood clot travels to lungs blocking blood flow. A life-threatening emergency requiring immediate care.","Hospitalization;Anticoagulants;Avoid immobility"

# ------------------ PULMONARY (RESPIRATORY SYSTEM) ------------------
Asthma,wheezing;cough;shortness_of_breath;chest_tightness,Chronic,"Chronic inflammation of airways causing reversible breathing difficulty. Triggers include dust and cold air.","Inhaler;Avoid allergens;Breathing exercises"
Chronic Obstructive Pulmonary Disease (COPD),cough;breathlessness;phlegm;fatigue,Chronic,"A progressive lung disease mostly caused by smoking. Includes chronic bronchitis and emphysema.","Avoid smoking;Inhalers;Oxygen therapy"
Bronchitis,cough;chest_congestion;wheezing;fatigue,Moderate,"Inflammation of bronchial tubes leading to mucus buildup. Caused by infection or smoking.","Rest;Steam inhalation;Avoid pollutants"
Pneumonia,fever;cough;chest_pain;phlegm;shortness_of_breath,Severe,"Infection causing fluid accumulation in lungs. Can be viral, bacterial, or fungal.","Antibiotics;Rest;Hydration"
Tuberculosis,fever;chronic_cough;night_sweats;weight_loss,Severe,"Contagious lung infection by Mycobacterium tuberculosis. Requires long-term antibiotic treatment.","Medication;Avoid crowd;Good ventilation"
Lung Cancer,cough;weight_loss;chest_pain;fatigue,Severe,"Malignant tumor in lung tissue mostly caused by smoking. Detected by imaging and biopsy.","Avoid smoking;Chemotherapy;Regular screening"
Pulmonary Fibrosis,shortness_of_breath;dry_cough;fatigue,Chronic,"Scarring of lung tissue making breathing difficult. Can result from toxins or autoimmune disorders.","Avoid dust;Oxygen therapy;Medication"
Emphysema,breathlessness;cough;fatigue;weight_loss,Chronic,"Destruction of lung alveoli due to smoking or pollutants. Causes chronic oxygen deficiency.","Quit smoking;Inhaler;Pulmonary rehab"
Bronchiectasis,chronic_cough;phlegm;fever;fatigue,Chronic,"Permanent widening of bronchi leading to frequent infections. Causes persistent cough with mucus.","Physiotherapy;Antibiotics;Hydration"
Sleep Apnea,snoring;fatigue;morning_headache;breath_stopping,Moderate,"Breathing pauses during sleep reducing oxygen levels. Often linked to obesity or airway obstruction.","CPAP machine;Weight loss;Avoid alcohol"
Sarcoidosis,cough;chest_pain;fatigue;fever,Chronic,"Inflammatory disease forming granulomas in lungs or skin. Severity varies by organ involvement.","Steroids;Avoid infection;Monitor lungs"
Pleural Effusion,shortness_of_breath;chest_pain;cough,Severe,"Fluid buildup between lung layers compressing the lungs. Usually secondary to infection or cancer.","Drain fluid;Treat cause;Avoid lying flat"
Pneumothorax,sharp_chest_pain;shortness_of_breath;cough,Severe,"Collapsed lung due to air leakage into pleural space. Can occur spontaneously or from trauma.","Emergency care;Oxygen therapy"

# ------------------ RENAL & URINARY DISORDERS ------------------
Kidney Stones,back_pain;pain_urination;nausea;vomiting,Severe,"Hard mineral deposits forming in kidneys or urinary tract. Causes severe pain when passing through ureter.","Hydration;Pain relief;Medical removal if large"
Chronic Kidney Disease,fatigue;swelling;urine_change;nausea,Chronic,"Gradual loss of kidney function leading to toxin buildup. Often caused by diabetes or hypertension.","Low-protein diet;Dialysis;Monitor creatinine"
Acute Kidney Injury,decreased_urine;fatigue;nausea;swelling,Severe,"Sudden kidney failure due to dehydration, infection, or drugs. Potentially reversible if treated early.","IV fluids;Avoid toxins;Hospital care"
Glomerulonephritis,swelling;blood_in_urine;fatigue;fever,Severe,"Inflammation of kidney filters caused by infection or autoimmune disease. Leads to fluid retention and high BP.","Medication;Monitor BP;Rest"
Nephrotic Syndrome,swelling;fatigue;foamy_urine;loss_of_appetite,Severe,"Kidney disorder causing protein loss in urine. Common in children and diabetics.","Low-salt diet;Steroids;Medical follow-up"
Polycystic Kidney Disease,back_pain;swelling;fatigue;frequent_urination,Chronic,"Inherited disorder where fluid-filled cysts form in kidneys. Causes progressive kidney failure.","Monitor BP;Hydration;Avoid injury"
Urinary Tract Infection,frequent_urination;burning_urination;fever;pelvic_pain,Moderate,"Bacterial infection in urinary tract, common in females. Causes burning and lower abdominal pain.","Antibiotics;Hydration;Hygiene"
Interstitial Cystitis,bladder_pain;urgency;frequency;fatigue,Chronic,"Chronic bladder inflammation without infection. Causes persistent pelvic pain and urinary frequency.","Avoid caffeine;Hydration;Medication"
Prostatitis,frequent_urination;pelvic_pain;burning_urination,Moderate,"Inflammation of prostate gland causing pain and discomfort. May be bacterial or chronic non-bacterial.","Antibiotics;Rest;Hydration"
Renal Failure,fatigue;swelling;confusion;urine_change,Severe,"End-stage loss of kidney function leading to toxin accumulation. Requires dialysis or transplant.","Dialysis;Monitor diet;Doctor supervision"
Hydronephrosis,flank_pain;nausea;frequent_urination,Moderate,"Swelling of kidneys due to urine backup. Usually caused by stones or obstruction.","Treat cause;Hydration;Monitor kidney"
Pyelonephritis,fever;back_pain;nausea;chills,Severe,"Bacterial infection of kidneys spreading from bladder. Can cause sepsis if untreated.","Antibiotics;Hydration;Rest"

# ------------------ SYSTEMIC & VASCULAR DISORDERS ------------------
Vasculitis,fever;fatigue;joint_pain;rash,Severe,"Inflammation of blood vessels affecting multiple organs. Leads to poor circulation and tissue damage.","Steroids;Avoid infection;Medical follow-up"
Raynaud’s Disease,blue_fingers;cold_intolerance;numbness;pain,Moderate,"Abnormal narrowing of small blood vessels in fingers due to cold. Common in autoimmune disorders.","Keep warm;Avoid stress;No smoking"
Thrombophlebitis,swelling;pain;redness;warmth,Moderate,"Inflammation of veins with clot formation. Common in varicose veins or prolonged immobility.","Elevation;Compression;Anticoagulants"
Lymphedema,swelling;heaviness;infection_risk,Chronic,"Fluid buildup due to lymphatic obstruction. Can follow cancer surgery or infection.","Compression therapy;Exercise;Skin care"
Septicemia,fever;chills;confusion;low_BP,Severe,"Life-threatening bloodstream infection spreading from other organs. Requires urgent antibiotics.","Hospitalization;IV fluids;Monitor vitals"
Shock,low_BP;confusion;weak_pulse;pale_skin,Severe,"Sudden drop in blood flow due to trauma, infection, or allergy. Leads to organ failure if untreated.","Emergency care;IV fluids;Treat cause"

# ------------------ NEUROMUSCULAR DISORDERS ------------------
Amyotrophic Lateral Sclerosis (ALS),muscle_weakness;cramps;slurred_speech;fatigue,Severe,"A progressive neurodegenerative disease that destroys motor neurons. Causes loss of muscle control and breathing difficulty.","Physiotherapy;Respiratory support;Assistive devices"
Guillain-Barre Syndrome,weakness;numbness;tingling;paralysis,Severe,"An autoimmune disorder where immune cells attack peripheral nerves. Can progress rapidly but often recoverable.","Hospitalization;Plasma exchange;Rehabilitation"
Myasthenia Gravis,muscle_weakness;drooping_eyelids;fatigue;difficulty_swallowing,Chronic,"An autoimmune disease impairing nerve-muscle communication. Symptoms worsen with activity and improve with rest.","Medication;Rest;Avoid overheating"
Peripheral Neuropathy,numbness;tingling;pain;weakness,Chronic,"Nerve damage causing burning or loss of sensation in hands and feet. Common in diabetes and alcohol abuse.","Control diabetes;Vitamin B;Avoid alcohol"
Bell’s Palsy,facial_paralysis;drooling;eye_irritation;ear_pain,Moderate,"Sudden paralysis of one side of the face due to facial-nerve inflammation. Usually temporary and recovers within weeks.","Eye care;Physiotherapy;Steroids"
Cerebral Palsy,movement_disorder;stiffness;delayed_development;seizures,Chronic,"Brain damage before or at birth affecting movement and posture. Non-progressive but lifelong.","Physiotherapy;Occupational therapy;Assistive devices"
Multiple System Atrophy,stiffness;balance_loss;slurred_speech;low_BP,Severe,"A rare neurodegenerative disorder combining Parkinson-like and autonomic symptoms.","Medication;Physiotherapy;Supportive care"
Muscular Dystrophy,muscle_weakness;fatigue;walking_difficulty,Chronic,"Genetic disorders causing progressive muscle loss. Often leads to wheelchair dependency.","Physiotherapy;Braces;Genetic counseling"

# ------------------ SKELETAL & POSTURAL DISORDERS ------------------
Osteoarthritis,joint_pain;stiffness;swelling;limited_movement,Chronic,"Degeneration of joint cartilage leading to pain and reduced mobility. Common in knees and hips.","Exercise;Weight control;Pain medication"
Rheumatoid Arthritis,joint_pain;swelling;fatigue;stiffness,Chronic,"Autoimmune inflammation of joints causing deformity if untreated. Affects multiple joints symmetrically.","Anti-inflammatory drugs;Rest;Physiotherapy"
Ankylosing Spondylitis,back_pain;stiffness;fatigue;reduced_flexibility,Chronic,"Inflammatory arthritis affecting spine and sacroiliac joints. Causes stooped posture over time.","Stretching;Medication;Posture correction"
Cervical Spondylosis,neck_pain;stiffness;shoulder_pain;headache,Chronic,"Wear-and-tear of cervical spine causing nerve compression and pain.","Physiotherapy;Ergonomic posture;Pain relief"
Scoliosis,spinal_curvature;back_pain;fatigue;postural_imbalance,Moderate,"Abnormal sideways curvature of spine seen in adolescence. Severe cases affect breathing.","Bracing;Exercise;Surgery if needed"
Kyphosis,hunchback;back_pain;stiffness;fatigue,Moderate,"Excessive forward curvature of upper spine. Caused by poor posture or osteoporosis.","Physiotherapy;Core strengthening"
Lordosis,lower_back_pain;poor_posture;muscle_tightness,Moderate,"Inward curvature of lower spine due to muscle imbalance. Improves with stretching and strengthening.","Posture correction;Exercise"
Osteoporosis,bone_pain;fractures;fatigue;height_loss,Chronic,"Weak bones due to mineral loss increasing fracture risk. Common in older women.","Calcium;Vitamin D;Weight-bearing exercise"
Paget’s Disease,bone_pain;deformity;hearing_loss;fatigue,Chronic,"Abnormal bone remodeling leading to enlarged and weak bones. Affects pelvis, spine, and skull.","Medication;Physical therapy"
Fibromyalgia,body_pain;fatigue;sleep_problems;memory_issue,Chronic,"Chronic pain disorder causing tenderness and exhaustion. Often linked to stress and poor sleep.","Stress control;Gentle exercise;Sleep hygiene"

# ------------------ ENDOCRINE & HORMONAL DISORDERS ------------------
Addison’s Disease,fatigue;dizziness;low_BP;weight_loss,Chronic,"Adrenal insufficiency reducing cortisol and aldosterone. Leads to dehydration and salt craving.","Hormone replacement;Regular checkups"
Cushing’s Syndrome,weight_gain;round_face;thin_skin;fatigue,Chronic,"Excess cortisol from steroids or tumor. Causes fragile skin and mood swings.","Hormone therapy;Reduce steroids;Surgery if needed"
Hyperparathyroidism,bone_pain;fatigue;nausea;frequent_urination,Chronic,"Overactive parathyroid raising calcium levels. Leads to kidney stones and bone fragility.","Surgery;Hydration;Monitor calcium"
Hypoparathyroidism,muscle_cramps;tingling;fatigue;hair_loss,Moderate,"Low parathyroid hormone causing calcium deficiency and muscle spasms.","Calcium supplements;Vitamin D"
Pheochromocytoma,headache;sweating;palpitations;anxiety,Severe,"A rare adrenal tumor producing excess adrenaline. Causes spikes in blood pressure.","Surgery;Medication;Monitor BP"
Pituitary Tumor,headache;vision_loss;fatigue;hormone_imbalance,Severe,"Abnormal growth in pituitary gland affecting hormone levels. May cause infertility or acromegaly.","Surgery;Hormone therapy;Follow-up"
Acromegaly,enlarged_hands;facial_changes;joint_pain;fatigue,Chronic,"Excess growth hormone in adults causing bone thickening and organ enlargement.","Surgery;Medication;Monitor hormone levels"
Diabetes Insipidus,excessive_thirst;frequent_urination;dehydration,Chronic,"Hormone disorder reducing kidney’s water retention ability. Leads to extreme thirst and diluted urine.","Desmopressin;Hydration;Monitor electrolytes"
Polycystic Ovary Syndrome,irregular_periods;acne;weight_gain;infertility,Chronic,"Hormonal imbalance causing cysts on ovaries and insulin resistance. Affects fertility and mood.","Diet;Exercise;Hormonal therapy"
Menopause,hot_flashes;irritability;insomnia;fatigue,Moderate,"Natural decline of female hormones ending menstrual cycle. Can cause mood and sleep changes.","Hormone therapy;Healthy lifestyle;Cool environment"
Premenstrual Syndrome,abdominal_pain;mood_swings;fatigue;headache,Mild,"Physical and emotional symptoms before menstruation. Related to hormonal fluctuations.","Balanced diet;Hydration;Exercise"
Hyperprolactinemia,irregular_periods;milk_discharge;infertility;headache,Moderate,"High prolactin levels due to pituitary dysfunction. Can cause infertility and visual disturbances.","Medication;MRI check;Endocrine care"

# ------------------ CHRONIC PAIN & REHABILITATION SYNDROMES ------------------
Chronic Back Pain,lower_back_pain;stiffness;fatigue;numbness,Chronic,"Persistent spinal pain due to injury or poor posture. Common occupational issue.","Posture correction;Stretching;Pain therapy"
Cervical Radiculopathy,neck_pain;arm_pain;numbness;tingling,Moderate,"Nerve compression in cervical spine radiating pain to arm and shoulder.","Physiotherapy;Avoid strain;Medication"
Sciatica,back_pain;leg_pain;tingling;numbness,Moderate,"Pain along the sciatic nerve due to herniated disc or compression. Worsens with prolonged sitting.","Stretching;Heat therapy;Exercise"
Carpal Tunnel Syndrome,hand_numbness;tingling;weak_grip;pain,Moderate,"Median nerve compression at wrist causing hand pain and weakness. Common in computer users.","Ergonomic setup;Splints;Rest"
Tendonitis,joint_pain;swelling;stiffness;weakness,Mild,"Inflammation of tendons due to overuse or strain. Common in shoulders and wrists.","Rest;Ice;Stretching"
Bursitis,swelling;joint_pain;warmth;redness,Moderate,"Inflammation of fluid sacs cushioning joints. Causes pain during movement.","Rest;Cold compress;Anti-inflammatory drugs"
Plantar Fasciitis,heel_pain;stiffness;swelling;fatigue,Moderate,"Inflammation of plantar tissue under foot causing sharp heel pain. Common in runners.","Stretching;Proper footwear;Rest"
Frozen Shoulder,stiffness;shoulder_pain;restricted_movement,Moderate,"Inflammation and thickening of shoulder capsule limiting motion. Often post-injury or diabetes-related.","Physiotherapy;Heat therapy;Pain relief"
Tennis Elbow,forearm_pain;stiffness;weakness;swelling,Mild,"Tendon strain from repetitive motion affecting elbow. Pain worsens during grip.","Rest;Brace;Physiotherapy"
Fibromyalgia Syndrome,body_pain;fatigue;sleep_problems;memory_issue,Chronic,"Widespread pain disorder involving muscles and soft tissues. Often overlaps with anxiety or depression.","Relaxation;Exercise;Sleep therapy"
Chronic Regional Pain Syndrome,burning_pain;swelling;color_change;stiffness,Chronic,"Nerve dysfunction causing severe pain after injury or surgery. Pain is disproportionate to trauma.","Pain management;Desensitization therapy"
Temporomandibular Joint Disorder,jaw_pain;clicking_sound;headache;ear_pain,Moderate,"Jaw joint inflammation leading to chewing difficulty and ear pain.","Soft diet;Stress control;Mouth guard"

# ------------------ IMMUNOLOGICAL & ALLERGIC DISORDERS ------------------
Allergic Rhinitis,sneezing;runny_nose;itchy_eyes;congestion,Mild,"An allergic reaction to dust or pollen causing nasal inflammation. Symptoms peak during seasonal changes.","Avoid allergens;Antihistamines;Wear mask"
Asthma,wheezing;cough;shortness_of_breath;chest_tightness,Chronic,"Chronic airway inflammation triggered by allergens or cold. Causes breathing difficulty and wheezing.","Inhaler;Avoid dust;Stay hydrated"
Eczema,itching;dry_skin;redness;scaling,Chronic,"Chronic inflammatory skin condition with itching and dryness. Often worsened by stress or irritants.","Moisturize;Avoid harsh soaps;Use mild creams"
Psoriasis,scaling;itching;red_patches;dry_skin,Chronic,"Autoimmune skin disorder causing scaly plaques. Common on elbows and scalp.","Moisturizer;Avoid triggers;Topical therapy"
Contact Dermatitis,itching;redness;burning;blisters,Mild,"Inflammatory skin reaction to irritants or allergens. Heals with avoidance and topical care.","Avoid irritant;Apply cream;Cold compress"
Drug Allergy,rash;itching;swelling;breathing_difficulty,Severe,"Immune overreaction to medication causing hives or anaphylaxis. Requires urgent medical attention.","Stop medication;Antihistamines;Seek emergency care"
Food Allergy,itching;swelling;vomiting;breathing_difficulty,Severe,"Immune system reaction to certain foods like nuts or seafood. Can lead to anaphylaxis if untreated.","Avoid allergens;Carry epinephrine;Doctor supervision"
Anaphylaxis,swelling;breathing_difficulty;low_BP;hives,Critical,"Severe systemic allergic reaction causing airway closure. Immediate treatment with adrenaline is vital.","Epinephrine injection;Emergency care;Avoid triggers"
Lupus,fatigue;rash;joint_pain;fever,Chronic,"Autoimmune disease attacking multiple organs and skin. Flares worsen with stress or sunlight.","Steroids;Avoid UV exposure;Medication"
Rheumatoid Arthritis,joint_pain;swelling;fatigue;stiffness,Chronic,"Autoimmune inflammation damaging joint linings. Causes deformity and disability if untreated.","Medication;Physiotherapy;Rest"
Sjögren’s Syndrome,dry_eyes;dry_mouth;fatigue;joint_pain,Chronic,"Autoimmune disorder reducing tear and saliva production. Causes chronic dryness and discomfort.","Stay hydrated;Eye drops;Regular check-ups"
Celiac Disease,diarrhea;bloating;weight_loss;fatigue,Chronic,"Autoimmune reaction to gluten damaging small intestine. Causes nutrient malabsorption.","Gluten-free diet;Vitamin supplements"
Hashimoto’s Thyroiditis,fatigue;weight_gain;cold_intolerance;hair_loss,Chronic,"Autoimmune thyroid disease causing underactive metabolism. Common in women.","Thyroid medication;Balanced diet;Regular thyroid test"
Graves’ Disease,weight_loss;anxiety;rapid_heartbeat;sweating,Chronic,"Autoimmune hyperthyroidism causing increased metabolism. Often with eye bulging or tremors.","Medication;Avoid caffeine;Monitor thyroid"

# ------------------ BLOOD & ONCOLOGICAL DISORDERS (EXTENDED) ------------------
Leukemia,fatigue;bruising;fever;infections,Severe,"Cancer of blood-forming tissues producing abnormal white cells. Weakens immunity and causes anemia.","Chemotherapy;Transfusion;Follow-up"
Lymphoma,swollen_nodes;fever;night_sweats;fatigue,Severe,"Cancer of lymphatic system causing swelling and fever. Treated with chemo or radiation.","Chemotherapy;Rest;Medical monitoring"
Multiple Myeloma,bone_pain;fatigue;weakness;infections,Severe,"Cancer of plasma cells in bone marrow. Causes brittle bones and kidney issues.","Chemotherapy;Pain control;Hydration"
Anemia,fatigue;pale_skin;dizziness;shortness_of_breath,Moderate,"Deficiency of red blood cells or hemoglobin causing fatigue. Often linked to poor nutrition or chronic disease.","Iron-rich diet;Supplements"
Sickle Cell Disease,joint_pain;fever;fatigue;jaundice,Chronic,"Inherited red blood cell disorder causing blockages and pain crises. Common in tropical regions.","Hydration;Pain management;Avoid cold"
Thalassemia,fatigue;pale_skin;weakness;enlarged_spleen,Chronic,"Genetic anemia requiring frequent transfusions. Leads to iron overload and fatigue.","Transfusion;Chelation therapy;Genetic counseling"
Hemophilia,bleeding;bruising;joint_pain,Severe,"Inherited bleeding disorder due to clotting factor deficiency. Even small cuts cause prolonged bleeding.","Avoid injury;Clotting therapy;Medical supervision"
Polycythemia,headache;itching;dizziness;fatigue,Chronic,"Overproduction of red blood cells thickening blood. Increases risk of stroke or clots.","Blood removal;Medication;Hydration"
Thrombocytopenia,bleeding;bruising;nosebleeds;fatigue,Moderate,"Low platelet count causing easy bleeding and bruising. May follow viral infections or drugs.","Avoid injury;Monitor counts;Doctor visit"
Myelodysplastic Syndrome,fatigue;infections;bruising;fever,Severe,"Pre-leukemic condition causing abnormal bone marrow cell production. Progresses to anemia and weakness.","Transfusion;Medication;Monitoring"
Hodgkin’s Lymphoma,swollen_lymph_nodes;fever;weight_loss;sweating,Severe,"Type of blood cancer with abnormal lymphocyte growth. High cure rate with early therapy.","Chemotherapy;Radiation;Healthy diet"
Non-Hodgkin’s Lymphoma,fever;fatigue;enlarged_nodes;night_sweats,Severe,"Group of lymphatic cancers with variable progression. Detected by biopsy and imaging.","Medication;Chemotherapy;Rest"

# ------------------ TROPICAL & NEGLECTED DISEASES ------------------
Malaria,fever;chills;headache;sweating;vomiting,Severe,"Parasitic infection spread by mosquitoes. Causes cyclic fever and anemia.","Mosquito nets;Antimalarial drugs;Hydration"
Dengue,fever;rash;joint_pain;muscle_pain;fatigue,Severe,"Mosquito-borne viral fever causing pain and platelet loss. Severe cases lead to dengue hemorrhagic fever.","Hydration;Avoid mosquito bites;Monitor platelets"
Chikungunya,fever;joint_pain;fatigue;rash,Moderate,"Viral infection transmitted by mosquitoes causing severe joint pain. Symptoms can last for weeks.","Hydration;Rest;Pain relief"
Zika Virus,fever;rash;joint_pain;red_eyes,Mild,"Mosquito-transmitted virus often mild but dangerous in pregnancy. Can cause fetal abnormalities.","Mosquito protection;Rest;Hydration"
Yellow Fever,fever;jaundice;vomiting;muscle_pain,Severe,"Viral infection transmitted by mosquitoes causing liver damage and bleeding. Vaccine-preventable.","Vaccination;Avoid mosquito bites;Rest"
Leptospirosis,fever;chills;muscle_pain;vomiting;headache,Severe,"Bacterial infection from contaminated water or soil. Affects liver and kidneys.","Avoid dirty water;Antibiotics;Hydration"
Typhoid,fever;headache;abdominal_pain;nausea,Severe,"Bacterial infection spread by contaminated food and water. Causes prolonged high fever.","Avoid street food;Antibiotics;Hydration"
Cholera,diarrhea;vomiting;dehydration;fatigue,Severe,"Bacterial infection causing rapid dehydration. Spread through contaminated water.","Drink ORS;Rehydration;Avoid dirty water"
Plague,fever;swollen_nodes;weakness;chills,Severe,"Bacterial infection transmitted by fleas or rodents. Historically caused pandemics.","Antibiotics;Rodent control;Hygiene"
Filariasis,swelling;fever;fatigue;itching,Chronic,"Parasitic infection transmitted by mosquitoes causing limb swelling. Common in tropical areas.","Mosquito protection;Medication;Hygiene"
Kala-Azar (Leishmaniasis),fever;weight_loss;enlarged_spleen;fatigue,Severe,"Parasitic disease spread by sandflies affecting liver and spleen. Fatal if untreated.","Antiparasitic drugs;Avoid sandflies"
African Trypanosomiasis,sleep_disturbance;fever;confusion;weakness,Severe,"Also known as sleeping sickness — transmitted by tsetse flies. Affects nervous system and causes coma.","Antiparasitic therapy;Vector control"
Schistosomiasis,abdominal_pain;bloody_urine;fatigue,Chronic,"Parasitic worms infecting blood vessels via freshwater. Causes liver and urinary damage.","Avoid stagnant water;Medication"
Onchocerciasis,itching;skin_rash;vision_loss,Chronic,"River blindness caused by parasitic worms spread by flies. Causes skin and eye lesions.","Antiparasitic drugs;Avoid river exposure"
Ebola Virus,fever;vomiting;bleeding;weakness;confusion,Critical,"Severe viral hemorrhagic fever with high fatality. Spread through body fluids or contact.","Isolation;Hydration;Protective gear"
Marburg Virus,fever;bleeding;vomiting;weakness,Critical,"Deadly viral infection similar to Ebola. Causes severe hemorrhage and organ failure.","Isolation;Hydration;Medical emergency"
Rabies,fever;anxiety;hydrophobia;paralysis,Critical,"Fatal viral disease transmitted by animal bites. Affects nervous system causing aggression and paralysis.","Vaccination;Post-exposure shots;Avoid stray animals"
Tetanus,muscle_stiffness;lockjaw;spasms;fever,Severe,"Bacterial toxin infection causing muscle contractions. Spread through wounds or rust exposure.","Vaccination;Wound cleaning;Emergency care"
Anthrax,fever;cough;skin_ulcer;breathing_difficulty,Severe,"Bacterial infection from animal products or inhalation. Can be fatal if untreated.","Vaccination;Antibiotics;Avoid animal contact"
Brucellosis,fever;joint_pain;sweating;fatigue,Moderate,"Bacterial infection from unpasteurized dairy or animals. Causes chronic fever and muscle pain.","Avoid raw dairy;Antibiotics"
Hantavirus,fever;cough;shortness_of_breath;fatigue,Severe,"Viral disease from rodent droppings causing lung failure. High mortality if untreated.","Avoid rodents;Clean hygiene;Hospitalization"
Nipah Virus,fever;confusion;seizures;respiratory_distress,Critical,"Deadly zoonotic virus affecting brain and lungs. Transmitted from bats or pigs.","Avoid bats;Isolation;Hospital management"

